"","Well","WellName","WellType","Replicate","ThresholddRn","CtdRn","Quantitycopies","RSqdRn","SlopedRn","MONISprojectno","AssayID","speciesabbr","season","qpcrrundate","gen_specnm","Genus","species","dk_comnm","Wellname.season.no1","gen_specnm.season","Harbour","Coll_date","volfilt_mL","declat","declon","Harbour.Welltype","col.06","copies_per_mLwater","copies_per_Lwater","copies_per_Lwater_plone","log.10_copies_L"
"1632","D12","smpl15","Unknown",15,0.0236,37.83,0.3523,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","smpl15.foraar.1","Colpomenia_peregrine.foraar","KalundborgStatiolHavn","2017.jul.02",1500,55.6643,11.0736,"KalundborgStatiolHavn.Unknown","#9600FF",0.0164406666666667,16.4406666666667,17.4406666666667,1.24156308175027
"1636","B1","std5e5","Standard",17,0.0236,18.13,5e+05,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","std5e5.foraar.1","Colpomenia_peregrine.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"1637","B2","std5e5","Standard",17,0.0236,18,5e+05,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","std5e5.foraar.1","Colpomenia_peregrine.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"1638","B3","std5e5","Standard",17,0.0236,18.38,5e+05,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","std5e5.foraar.1","Colpomenia_peregrine.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"1639","C1","std5e4","Standard",18,0.0236,21,50000,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","std5e4.foraar.1","Colpomenia_peregrine.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"1640","C2","std5e4","Standard",18,0.0236,20.84,50000,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","std5e4.foraar.1","Colpomenia_peregrine.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"1641","C3","std5e4","Standard",18,0.0236,20.86,50000,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","std5e4.foraar.1","Colpomenia_peregrine.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"1642","D1","std5e3","Standard",19,0.0236,24.03,5000,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","std5e3.foraar.1","Colpomenia_peregrine.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"1643","D2","std5e3","Standard",19,0.0236,24.59,5000,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","std5e3.foraar.1","Colpomenia_peregrine.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"1644","D3","std5e3","Standard",19,0.0236,24.2,5000,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","std5e3.foraar.1","Colpomenia_peregrine.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
